distinct_files,total_occurrences,token_normalized,token_example_casing,example_file,example_line
21,21,"ECOMMERCE","eCommerce","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",200
21,21,"ECOEDPASSZONES","EcoEdPassZones","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",30
21,21,"DESCRIPTION","Description","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",21
21,21,"DEMOGRAPHICYEAR","DemographicYear","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",42
21,21,"DEFAULTPROJFILE","DefaultProjFile","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",53
21,21,"CRT_FARE_ZONE","CRT_Fare_Zone","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",57
21,21,"CORESAVAILABLE","CoresAvailable","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",169
21,21,"CAV_MPR","CAV_MPR","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",206
21,21,"CAPFACTOR","CapFactor","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",77
21,21,"CAPACITYOVERRIDEFIELD","CapacityOverrideField","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",130
21,21,"CAPACITYOVERRIDE","CapacityOverride","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",129
21,21,"BE_SEFILE","BE_SEFile","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",43
21,21,"ADDNODEFIELDS","AddNodeFields","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",58
21,21,"ADDLINKFIELDS","AddLinkFields","/d/GitHub/WF-TDM-Official-Releases/Scenarios/_default/1ControlCenter - BY_2019.block",80
15,22,"TRANTIME","TRANTIME","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",99
14,15,"FT","FT","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",95
13,14,"LANES","LANES","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",93
12,12,"TRNSPD","TRNSPD","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",97
